|17
mickey pinata|1
rocking horse|1
little kids graduating from their class|1
teaching about zen|1
characters marching|1
4th of july|1
dropped flag|1
people dance in a street parade|1
surprise birthday|2
awards speech|1
lots of disruptions|1
downtown|4
stitting|1
people wall food candle flame|1
pageant|1
someone lights candles on a cake|1
children singing happy birthday|4
birthday candle being blown out by a kid|1
playing soccer on beach|1
big rig|1
confused|1
japanese festival|1
pink|4
water show|1
street demonstartion|1
walking in gym|2
adult with camera taking pictures|1
woman reading from paper|1
map|1
holding a globe|1
playing organ|1
lighted float|2
house night lights roof people|1
tablecloth|1
guys|1
man|105
man holding flowers in hands|1
close-up|11
beauty and the beast|4
award ceremony national anthem|1
hunny parade float|1
red and blue|1
kindergarden kids celebarating|1
ski poles|1
african|3
basket|6
tall|3
talk|2
cute|4
shoes|5
shaky|2
cap gown chair floor students|1
illuminated candle|1
shake|1
singing and dancing|1
young girls sneaking up a set of stairs to maybe surprise someone|1
african people attending ceremony and singing|1
group|46
monitor|2
childrens bithday party|1
coaching|7
drummer|1
graduation ceremony where students are singing|1
tourists follow suit|1
texas|1
mother speaking about family|1
boats|10
safari|2
smiles|12
party hats/favors|1
jugglers|1
happy birthday celebration!|1
phd graduation|3
speech in two languages|1
lots of noise|2
sports drill|1
students graduate|2
signage|1
girl|105
officers getting assignments as to what division they will be working in|1
canada|9
sending video message|1
kids playing soccer|5
people gathered together|1
monster|1
sideways|1
california|4
marching band at event|1
carnival|158
waiter|1
headphones|7
fancy dress show at school|1
graduduation|1
cash register|1
cheese|1
group of men performing in parade|1
dinner gala|1
lights night float dark|1
crib|1
placards|1
children play|1
carry|1
sleeping beauty|1
dumbo|1
people clap|2
little|1
zombie parade|2
running on cou rt|1
speaking|20
mining|1
playing basketball|3
night parade|29
parade of balloons|1
11|1
biirhtday|1
sailing|1
little child climbing on sofa|1
dog parade|4
google logo|1
kids birthday party|11
victorian|1
tractor|10
gathering|64
young family gatered around a table|1
granted prize|1
talking gibberish|1
youth soccer|1
people dance in a parade|1
parade featuring some racing cars on a street|1
spectacle|1
greetings card|1
monochrome|1
mother and 2 little boys talking at home|1
speakers|4
hooded|1
hat kids gym floor hat costume wall|1
children wearing hats|1
performance|83
mom passes baby to surly dad.|1
traditional parade|1
birthday presents|7
theatre|3
track|12
kids sports award ceremony|1
foam mallets|1
student pipers marching|1
boy baby chair table|1
eating cake|6
floating stage|3
shop|3
throwing candy|1
show|41
kids choir|1
kids in costumesw|1
corner|1
gold cart parade|1
kick soccer ball|1
baby watching parade floats|1
snowwhite|3
kindergarten graduation|6
black|7
happy birthday jack|1
graduate names|3
little kids exercising outside|1
man attempts to eat blue food|1
morning|2
boys practicing soccer|1
todllers|1
bithday party|2
baby blows out the candles|1
huge shark balloon|1
fire engine|11
daytime parade we see youngster in a stroller|1
seat|3
kid playing|7
japan|4
xmas bikers street parade|1
girls eat cake|1
baby playing with balloons|2
little school kids sininging|1
camping|1
misc speech|1
baby celebrating birthday|1
holding guns|1
reading|18
lighting candle|2
college life|1
family sing badly to oblivious baby|1
parent|5
scrolls in a basket|1
open card|1
girls on camera|1
young kids singing at their graduation|1
singers|2
people sat on sofa|1
family boy cap gown wall door camera ceiling|1
patrons|1
group of old and young walking along a street|1
showing muscles|1
military parade marches down a street|1
birthday perty|1
birthday dinner|3
people watching the parade|1
tassel throwing|1
gradduation|1
shopping|3
laptops|2
family and friends around table|1
children and adults singing happy birthday|1
cutting cake|10
parade celabration american flags|1
sound|1
coacrusthes|1
graduation ceremony and kids singing|1
turtles|1
teacher talks|1
funny hat|1
people at a birthday party|1
zylaphone|1
hanging out|1
rubbing|2
crowd watching|21
sleeping|9
celebration of sorts|1
boy present floor wall shirt|1
bags|2
art class|1
celeration|1
doctor|2
indoor soccer match|1
serving cake|1
curtain rail cap gown guy girl|1
guitar playing|3
seasonings|1
concierto|1
speech|334
speecj|1
pan|1
child holding flag|1
graduates waiting|1
running|52
motorcade|1
crowd of people walking|1
graduation of young students|7
small red car|1
cutting a birthday cake|1
bottle|9
sininging happy birthday|1
outdoor|8
open top bus|3
parad|1
kids birthday bowl chips|1
the seven dwarfs|1
a woman singing happy birthday with young students|1
walking people|1
graduation hall|1
miitary|1
mom|6
cutting birthday cake|1
but the red child does count?|1
giving red boxes to parents|1
candle burning|1
taking off wrapping paper|1
audience|78
laughing|63
kids eating|1
holding flowers|1
pin ceremony|1
girl cap tassel gown podium church people|1
a very colourful parade takes place|1
amateur basketball game|1
family singing happy birthday to a little boy|1
lady singing happy birthday to her cats|1
elementary school graduation|2
stage with podium where speaker is standing|1
family friends singing happy birthday|1
birthday cake candles lit|1
birthday surprise|2
wearing blue hats|1
knife|9
dressy clothes|1
cake with lit candles|1
broken|1
drums|74
mortar board|1
soccer field|3
2 little girls singing|1
island|1
boy table family wall chair|1
disney night time parade|1
people sitting|1
disney characters waving to crowd|1
road|45
whites|1
drum corps|3
grammar school|5
crowd watching game|1
daytime parade with marching band|1
friends play ten pin bowling|1
tree sky kids performance|1
child in high chair|1
children sat down|6
opening gifts|4
buggy|2
walkway|1
flamboyant|1
colourful lights|1
tasting family|1
playing ball|1
netting|1
suitcase|1
kids sing graduation song|1
speech & graduation|1
crowd smiling|9
child's birthday celebration|1
baby carpet light fireplace window|1
kids singing at an event|2
field|14
blowing candles|4
rubber ball|1
students|277
car race|3
boy girl cap dress floor|1
decorated|7
glowing floats|1
people gathered around|4
remote|1
children playing basketball|8
lighting candle on birthday cake|1
birthay|1
older couple cutting cake|1
elegant dishes|1
pirate ship|4
childreb|2
baby playing|4
people mingling|1
baby playinh|1
childrem|1
girl tree road bridge dress shirt ground|1
flat hats|1
lights night sidewalk crowd men|1
ripping off the wrapping paper|1
enjoying|1
disney electrical parade|2
primary school|3
parcel|1
sitting|246
bird costumes|1
birthday balloons|5
fall|1
small kids singing at their graduation|1
music and dance|1
woman holding flag|1
lumier|1
kicking ball|4
guy cutting cake|1
people waving|6
firetrucks sirens lights|1
musical instuments|1
club celebration|1
crowd men women|1
neighborhood|2
he gets distracted|1
sky tree street house pole flag people|1
bridal parade|1
resturant|1
ribbon|1
sky tree building float flag water people|1
board men woman meeting table|1
stool|1
parade of emt's|1
victory celebration|1
baseball honors|2
public|5
movement|2
2 little girls dancing|1
baby in carrage with flag|1
children clapping|2
adults emotions|1
graduates seated|1
night-time street parade|11
cap and gowns|2
parade marching band playing instruments|1
people playing drums|1
birthday cakes|1
a march of some sort|1
table|110
speeches|5
basic training graduation|3
house tree grass lawn cap gown|1
stretching|2
spotlight|1
woman putting party hats on dogs|1
caravan|3
clapping|362
lights flashing|2
children lunch|1
kindergartan|1
crying girl|1
texting|1
two|2
orange dress|1
table man cake party woman|1
maskot|6
megaphone|6
cultural performance|1
conducting|4
little children getting awards|1
karaoke|6
town|2
none|45
lights chairs flag wall stage cap gown crowd|1
tries to read it|1
video screen|1
glyndwr university|2
sponsor sign|1
go carts|1
marble|1
hamburger|1
birthday canldes|1
siren|7
speaker calling names|1
grampa birthday celebration!|1
cold night|1
kids play soccer|1
mickey mouse pinata|2
parade w a killer whale float|1
crowded|1
coat|1
dragon|6
pep rally|1
playing|82
grads sing a grease song...badly|1
jingle bells|1
infant|2
tv recording|1
ceramony|1
29|1
kids floor wall chair window doir|1
getting diplomas|1
street parade with piper|1
good|1
large student float|1
males|2
family party|4
car driving|1
child blowing our candle|1
snow white's seven dwarfs in a parade|1
receiving line|1
children dressed in halloween costumes|1
playing with balloon|1
suprise|4
babies family birthday celebration|1
laughing young girl|1
goofy|6
students walking|1
a nighttime electrical parade|1
fairground ride|1
bringing gifts|1
house|23
fish|6
teacher tries to fix it back on|1
man laughing|1
crowd boy family balloon ceiling|1
backpacks|1
flower|2
celebrating with family|1
saying thank you|1
person shoots at an outdoor basketball ring|1
people greet each other|1
acting|1
mad hatter|1
old people|3
football field|7
photo opportunity|3
colorful choo-choo train|1
looking at pictures|1
marching band procession|1
disneyland|7
drum band instrument boy girl gym|1
person talking|2
computers|1
baby eating|5
toy story|1
sing happy birthday|5
kids in costume|1
seven dwarves|6
parade flag float tree singer man|1
universal technical institute|1
bagppipes|1
climbing|3
campground|1
cups|6
girl performing|1
white caps and gowns|1
kitchen camera|1
church preacher|1
peple|1
feeding baby|2
drapes|1
needle|1
park|7
part|1
cjildren smiling|1
forward roll|1
they return back down|1
pary|1
kids dad table cake window wall ceiling camera|1
kid in doorway|1
men in uniform marching inside a building|1
perhaps a graduation ceremony of young students|1
youth|5
feathers|6
waving at crowd|3
curtains|2
shopping bag|1
chip & dale|1
mountain|1
children costume parade|1
people singing happy birthday|1
couch|14
foreign music playing|1
gradustion|1
kid stares at bubbles|1
blowing out birthday candle|1
flute|3
killer whale|2
genie|1
services|1
a birthday picnic in a park|1
candles lit|1
reflections|1
light up candle on birthday cake|1
senior students graduating at event|1
hugging|31
asian festival|2
serving food|1
kids yelling|1
8|1
everyone smiling having fun|1
night sky candles fireworks music crowd people|1
luke|1
toddlers|8
party occasion in a home|2
woman's voice|1
people holding flags|3
baby blows out birthday candles on cake|1
hula hoop|1
a father and two sons making a video|1
start of a parade|1
clown dress|1
little kid makes a graduation speech|1
she tries again|1
orca|1
cap tassel kids gown glasses|1
certificate presentation|1
invincibles|1
lion|1
baby plays with toy|1
boy sofa shirt wall|1
halloween festival|3
children collecting certificates|1
visiting|1
dwarf costumes|2
fans|10
mom scratches her butt|1
a float leads a parade|1
nashville|2
candle cake|1
driing|1
floats|224
restaurant|27
annual|1
foreign|2
playing drums|4
personal party|1
cakes|17
audience cheering|2
students wall classroom girl chair|1
birthday night out|3
graduatoni|1
dances|1
dancer|1
child receiving birthday card|1
family cheer|1
blows candle out|1
danceing|1
weaving|1
secret|1
a lady makes a speech about a man|1
children leaving the bleachers|1
meeting|19
golfcart|2
winnie the pooh and friends talking|1
cake with candles|3
holding the baby|1
woman makes a speech at a party|1
honking|1
night time street parade1|1
fun|13
speaker calling out graduate names|1
happy new year celebration|1
young children singing happy birthday|1
music plays and they are called forward|1
baby wall chair curtain|1
opening birthday presents|6
two children singing and dancing|1
corridor|1
hanging trlrvision|1
torta|1
baby cake highchair|1
parade duck castle sky tree branch goofy|1
girl happy|1
camera man passes by|1
brushing hair|1
beanie|2
trying to get out of stroller|1
wall board woman people|1
neighborhood kids parade|1
flags|246
kids singing at a graduation ceremony.|1
flag dance|1
little girl and teacher|1
paneling|1
african beach|1
snow|6
giant ship float|1
alignment|2
man hugging another man|1
cut|1
cup|7
boy playing with toys on the floor|1
model trucks|1
shouting|19
kites|1
easter|1
excited|5
big|1
bib|3
giraffe birthday cake|1
semi|3
kids in gym|1
google|1
fire engines|11
kids on a bus|1
an asian family or friends celebrating at a reception|1
mirror|2
wish well msg|1
uncle matty|1
little boy on stage speaking in foreign language|1
pet|4
family event|1
nose|1
cameraman|2
patient|1
costumes|315
lumiere|2
congratulations ceremony|1
chanting|10
its a marriage|1
camera pans to. different people celebrating a birthday|1
kid squirms|1
small baby|2
white caps|1
graduatiom|2
graduation|3872
children recieving awards at school|1
cap gown students crowd|1
running groups|1
drivers waving to audience|1
seating|1
wall kids table cake plate floor bench|1
end of graduatation|1
batons|2
tigger|8
baby opening card and smiling|1
bowling alley|3
parents urging him to blow out the candle|1
merry go round|1
funny and cute|1
street parade of bikes and cars|1
boys|22
little girl in garden|1
unwrapping|12
giant orca balloon|1
a girl|2
sky wheel float people building night|1
stiltwalkers|3
cupcakes and other food on a table for the celebration|1
a christmas parade with floats and parade participants doing a dance to ice ice baby|1
kids happy birthday music|1
baby chair window door wall balloon table paper knob|1
single|1
team go for the other basket and miss again|1
cafe|1
amusment park|1
bridgeport university|1
many trees|1
kids talking|2
celebration for birthday|1
singing happy birthday song|3
birhthday|1
seven dwarfs|4
firetruck|10
toy story character|1
a marching band and drill team marching in a parade|1
speach|30
desert|1
receiving dipolmas|1
pre-kindergarden|1
vehicles|31
school children|6
presenting|1
2009|1
stroller|4
red book|1
mickey and minnie mouse|2
raceetrack|1
kicking basketball|1
asiaticos|1
schoolkids dancing|1
bithday|1
night lights parade float crowd flash|1
dessert|1
award speach|1
recreation|5
knight|1
it moves away from the toy|1
woman playing guitar|2
carnival parade|1
white gowns|2
white caps/gown|2
parade balloon|1
mural|2
second birthday celebration|1
george washington|1
train whistle|1
moving chairs|1
giving|1
anthem|1
pipes|1
piper|1
napkins|2
handing out diplomas/degrees|2
exercise|8
santas on motorcycles|1
jumping on stilts|2
610 stompers|1
sing|15
players on the court running|1
talent|1
parents holding children|1
speaker callig names to come up to stage|1
kids playing on the beach|1
31|1
peterpan|2
honor|1
audlt|1
graduate diplomas|1
small kids playing soccer|1
getting doll|1
names|6
unhygienic people pick bits off a cake|1
sermon|2
people dancing in the street|2
studium|1
kids achievement report|1
he kisses his toy|1
larking|1
senior birthday bash|1
halloween|61
sundresses|1
there is a graduate students going|1
train|10
prizes|1
tearing|1
tunnel|1
graduates walking|4
decoratioms|1
family/friends at ceremony|1
kids on bus going to parade|1
school event|2
alit|1
gym class|3
drowsy child|1
camera shutter|1
pirate ship replica|1
college graduation|2
boxing|1
fete|1
forest|1
onlookers|4
people chat in kitchen|1
buildings|43
man makes a speech|2
kindergarten students graduate|1
watch|2
lights costumes|1
stage show|1
band uniform bagpipe building pole sky|1
maracas|1
graduates walking across stage|1
boy podium wall microphone sign|1
sit|1
lines|1
spacecraft float|1
street dancing parade|1
girl opening presents|2
students waiting|1
poetry|1
horns|6
all smiles|1
lk|1
kindergarten|14
baby mom plate chair tray|1
religeous celebration|1
hawaiin garb|1
dad|12
new year's parade|1
fiesta|1
cutting|8
courtroom|1
day|8
preschool|13
birthday dinner at restaurant|1
backboard|2
baby gets off the bed|1
little kids playing soccer in the gym|1
sports bar|1
crowds watching parade|1
young girl singing happy birthday|1
salesman|1
boy cake flame candle rail wall|1
children sat down on seats|1
baby clapping hands|1
oriental|4
family sing happy birthday to grandma|1
lecture|1
open presents|1
red|9
singing at graduation|1
moms kids wall sidewalk camera building costume|1
magic trick|1
bright lights|3
children singin|1
yard|2
baby singing birthday song|1
selling crafts|2
hapie birthday|1
window guitar wall people cup legs feet|1
girl on her room|1
door man dresser people light veiling lamp|1
drum major|2
graduation of senior students|2
embarrassed|1
puppet|6
baby plays with an oversized balloon|1
steps rail brick porch people counter wall light|1
military procession|2
birthday pinata|3
brick wall|2
pots|1
kids basketball|1
music parade|4
fireworks going off in an arena during a celebration|1
neon sign|1
nobody|1
wall table tray food chair bowl|1
someone giving a speach|1
garbage can|1
lightening|1
glassses|1
men shirt pant|1
wall light cap gown chair flower ceiling|1
some kids sitting in chairs on stage|1
flashes|7
posing for photos|1
nightime street party|1
tide|1
durfs|1
saris|3
demonstration|6
someone moves the balloon|1
two basketball players getting tangled up and fouling each other|1
kids play indoor basketball|1
school graduation|19
parka|1
reciting|2
playing with puzzle|1
crawling|3
graduaiton|1
pick up toy|1
people cheering|3
its christmas|1
baby playing with toys|1
graduation ceromony|54
happy 66 birthday|1
band playing marching tune|1
kite|1
settee|1
nighttime street parade|2
gradiatiopn|1
rotating|1
mascot clapping|1
scholl chrildrens graduation|1
a basketball game in progress|1
national anthem|3
staff|2
choir singing|4
achievement ceremony|4
singing in another language|1
photographs|4
british flag|1
stripey|1
stripes|2
birhday|2
girls talking|1
birthday cake lit|1
african american|5
waitress singing|1
unifroms|1
walking up stairs|3
organ|6
children sining at school|1
kid eating|1
kilts|2
bubble machine|1
giving out certificate and candy|1
texas music doctor|1
people stood in lines|1
national|1
people watching a display|1
receiving diploma|3
racket|1
holiday parade|3
purses|1
wall ceiling table family desk window frames|1
kids sing|2
routine|5
people on floats waving tp crowd|1
a family celebrating the birthday of the lady and she eats cherry|1
debris on the streets|1
deporte|1
police bike people dancers float parade light|1
nightfall|1
speech cameras audience  translator|1
passing|3
ship sky whale wire cloud people|1
kid blowing out 2 birthday candles|1
players running|1
baby girl dressed up|1
theater|1
video conference|2
laugh|3
this may be a birthday event|1
graduation from coliege|1
bumblebee|1
dressed in uniforms|1
comedy show|1
small kids graduating|1
tots graduate|1
curtain|2
nursery school performance|1
baby makes mess|1
boys birthday|1
pirate musical skit|1
people hugging others in room|1
mounties|1
holiday|3
cow|2
a crowd screaming as cars are parading down the middle|1
elmo dancing with babies|1
kid w parents|1
happy birthday speech|1
top hats|1
birthday ocassion of a young boy|1
sidewalk night lights tree people|1
girl with camera|1
family celebrating|1
tumbling|2
young kids in cosutmes|1
young students graduating|4
cupcake with candle|2
children basketball game|3
birthday announcement|1
mortar board and gown|1
boy celebrant|1
grandstand|1
bettalion|1
sisters|2
kids dad cake table curtain candle|1
motivational speech|1
center|2
firemans street parade|1
skating parade|1
graduation gathering|1
muscle|2
stores|3
flag night light parade wall men|1
granddad|1
school band|2
kids play ball on beach|1
fan wall banner tripod camera balloon|1
birthday celebrant|2
decorated cars|1
seats|10
tile floor|1
toy race cars|1
adult helping from the side|1
bench|2
children sat down at table|3
match|2
lit birthday cake|1
putting candle on cupcake|1
kid opens birthday gift|2
tree sky branch people|1
graduaton ceremony|1
indoor football|1
family stand in front of a cake|1
flamingo|1
piano playing|3
sofa|8
pinwheels|1
emergency vehicles take part in a parade|1
kids cap dress teacher wall floor rug|1
highschool graduation ceremony|1
candels|7
chinese lanterns|2
a graduate comes forward|1
students walk individually onto a stage|1
young boy celebrating a birthday|1
walking on stilts|1
home movie|1
young students at their graduation ceremony|1
small car|2
noise|53
night lights parade|1
photos taken|1
panel|2
waving|198
shaking hands|15
birthday karaoke|1
blessings|1
tree sky flag hat parade street sign|1
young students outdoor graduation ceremony|1
child opening present|1
childrens|1
children on the floor|1
singing too fast|1
function hall|1
female|3
underpass|1
people waving their hands|1
parade floats decorated with bright lights|1
brides|2
baby blowing out candle|1
boy playing|1
group dancing|3
kid standing on table|1
people giving leis to woman|2
martching band|1
sky pole wire banner band street flag tent house|1
children2|1
college band|1
bus|5
santas|3
opening a birthday card|1
victory parade|1
night lights garland students light table glass|1
wish|5
speech at graduation|1
military parade|21
vehicle convoy|8
soccer match|6
monster inc|1
skating|6
mother communicating with older toddler|1
disney parade|19
circus|5
pig|2
birthday drinks|2
donald duck|5
shooting|8
birthday party|451
street entertainment|4
granite|1
dresses|2
night float rail parade lights|1
float with children's fun characters|1
sea horse|1
bilboard|1
athletics ground|1
basketbal|1
wall hat table present frame|1
climing|1
juvenille graduation|1
bagpipe|1
little boy openeing birthday presents|1
hats|128
small cars|1
halloween costumes|3
family smack little girl|1
feeding|4
little girls running in field|1
white hat|1
people sing happy birthday to an unimpressed kid|1
police academy graduation ceremony|2
pride|6
street demonstration|1
confetti|1
fireplace|1
school|144
motorcyclist|1
repeat birthday songs|1
blowing out candles on cake|1
pagodas|1
young girl being celebrated|1
stewart field|1
banderas|1
leaders|1
people waving at camera|1
kid in goal throws out the ball|1
street|415
night-time parade|16
blue|12
fire truck street sky pole light wire sign|1
woman speaking|1
others wave|1
people gathered outdoors|2
children|1118
parade of lights|1
disney|132
tractor parade|1
truck kids parade pole wire tree seat|1
cookie monster|2
people eating|1
path|1
man speaking to people|1
waiting to be called|1
praty|1
happy birthday celebration at resturant|1
baby eating cake|6
small children|1
leaves|3
soccer balls|1
night-time stree parade|1
lady waving|1
ambulances|1
straw|1
godmother|1
cartoon characters|11
police car with lights flashing|1
soft toys|1
hapiness|2
lit candles|2
people in bee costumes made out of lights|1
star wars|1
wall teacher students desk cap door|1
hospital|6
speeech|1
camcorder|1
baby sitting in high chair|1
basketball drills|1
stage people play|1
confetti falls on a baby|1
happy birthday grandad|1
people baton band girls wall street costume|1
musc|1
phone|8
kids on a stage|1
ma|1
men playing basketball|1
mj|1
mascot riling up the crowd|1
entertainer|1
award ceremoney|1
roadway|1
sailors in formation|1
happy birthday message|2
dolphin|1
people cheer on street parade|1
little boys|1
music is playing|1
ceremony|466
listening music|1
a marching band in a parade|1
girl crying|1
picturetaking|1
playing trumpet|1
gate|5
raffle|1
congratulation on graduation  message|1
mess|6
birthday singsong|1
keep fit|1
jumping|25
blue shirt|1
sparkler|9
salsa|1
birthday occasion of an old man|1
walking up a stage|1
graduatation ceremony|1
audiotorium|1
lights float night parade people|1
boy receiving gifts|1
patient in hospital|1
children sat own|1
commencement speaker|1
childrens birthday party|2
someone videos from a moving vehicle|1
prize giving|2
canto|1
kids clapping|1
sailors in formation performing an exercise|1
birthday music|1
waving coming in|1
army truck|2
people at a house party|1
washing|1
alex|1
birthday occasion.|1
choir|33
victory|1
each|1
signing|3
celebration birthday family|1
gymnasium|16
baby's first birthday|3
celebrating|164
juggling|1
driving|92
woman blows out the candle on the cake|1
happy people|1
disney character floats dancing|1
drivint|1
woman hugging visitor|1
buzz lightyear|2
graduation ceremony awards|1
pets party|1
parade around a track|1
kids playing basketball in gym|1
graduation for kids|1
formation|6
speaker making announcements|1
woman gym wall parachute kids net|1
young children graduating|1
man speaking|1
kids playing in toys|1
mom squeaks|1
small car parade|1
fantasy|2
chldren|1
fire truck|13
headdresses|1
toy|16
24 years old|1
top|1
little boy singing happy birthday|1
band members wearing black|1
kinder|1
gowns|255
crowd listening to bagpipes|1
children pulling string on mickey mouse pinata|1
urban|3
ceiling|1
kids getting awards & dog treats|1
grass skirts|1
girl cake step rail sweater man wall|1
young child watches a parade|1
warmup|1
horn blowing|1
flame|26
female singer|1
bridge|1
donkey|1
pass|1
talking|328
pompoms|2
he shakes hands|1
seminar|6
cermony|2
trick or treating|1
flag wavers|1
small child opening present|1
rides|4
speaker addressing a group of people|1
floor flag building group men drum band flute|1
couting|1
new years celebration|1
glow|1
treats|1
little gorl|1
people sitting around|1
entertaining|1
electric light show|1
queen|1
colors|1
some kind of festive occasion with people in costumes|1
peter pan|8
pinocchio|1
pdsfsdfs|1
brass band|22
mascott|1
a baby|1
stage show singing|1
mascots|10
highchair|20
sunglasses|2
asians|5
seven dwarks disney parade|1
chilean flags|1
wedding|6
man playing bagpipes leads a parade of children|1
music concert in mall|1
beads|6
sky horn umbrella building|1
licking|1
boy dad cup wall shelf books|1
noodles|2
jerseys|3
children singing in class|1
grandmother|4
stage curtain people flower|1
mum|1
truck lights float night flag|1
land of hope and glory|5
child popping bubbles|1
old lady|1
singing happy  birthhday|1
culinary school|2
group graduation|4
steel drums|4
players|6
garden party|1
games|2
faces|6
standing in attention|1
happy birthday bowl of food|1
she hugs a man|2
guy scores|1
standing`|1
five-a-side|2
childrens graduation ceremony|1
conference|1
mixed sex|1
winnie the poo|1
ropes|1
lighted snails|1
beep|2
beer|3
fairy tale|1
schoolroom|1
parade of carts|1
containers|1
dance club|1
young adult's graduation ceremony|1
singing happy birthday in a bar|1
characters dance in a parade|1
graduation walk|4
car seat|1
students at a graduation cceremony|1
teapot|1
motorcycle event|1
motorcycle parade|9
playing on beach|1
teachers|18
someone giving a speech|1
unknown celebration|1
fireman in parade|1
mardi gras parade|1
people watching on sidewalk|1
walking the dog|1
baby doll|1
group graduation song|1
thriller song playing|1
8th birthday|1
honor guard|1
pyrotechnics|1
graduation high school|1
carnation|1
boys kicking during performance|1
several|8
music band in street parade|1
eating popcycle|1
characters|43
soccer ball|2
cap and gown ceremony|1
singing happy birthday to a baby|1
flag twirling|1
cycle|2
tassel|2
holding signs|1
fake play-acting|1
a parade with a band|1
ocean|5
dog birthday|3
mother|12
hearts|1
snowman|1
laptop|2
playtime|5
kids basketball game|2
golfcarts|2
graudates singing|1
teenager|2
people surprise a girl in a dark room|1
pushing ride|1
children walking single file in gym|1
pullovers|1
little kid's halloween parade|1
children sitting in chairs|1
kids' birthday party|1
gift|35
street waving|1
walking around in a circle|1
girl reading birthday card|1
spongebob|1
playing soccer|4
donald|3
sunglasses on hat|1
people eating cake|1
senior students graduation ceremony|1
tutorial|2
hindu parade|1
lots of visitors watching|1
one stops half way through|1
motorbike parade|1
christmas|89
girl looks excited|1
people on sidewalk watching|1
pet dogs birthday|1
lamps|1
photo-op|2
kick about|1
children standing|1
event involving young people singing|1
dinner|13
go back down to the first basket|1
duke|1
puzzle|1
familt gaterthing for photo|1
ppl|1
cafeteria|1
hospital ward|1
military guys doing a marching formation|1
kids birthday|5
head|1
red gowns|1
students walk into a stage|1
people videoing a parade|1
child falls down when running|1
uncle|1
birthday cards|1
candy cane outfit|1
unknown event at a big gala dinner|1
marchers playing instruments|1
kid opening a present|2
getting present from box|1
stood in line|3
beach ball|1
annoying|1
woman holds up balloon|1
check|1
little children celebrating a birthday|1
purple hats|1
black cap/gown|4
crime fighters|1
birthday celebration for a baby|1
papers|4
tie|3
surprise birthday party|19
drums marching singing|1
picture|4
football|53
kids party|1
children holding object|1
parade procession|3
aplause|1
choo choo|1
basketball ames players running on tcourt|1
yacht|1
kids in costumes dancing|1
coach|13
leads|1
some kind celebration event|1
childrens parade|4
white hats|1
row|1
people hide|1
children soccer|1
dancing in costuemes|1
cup cakes|1
biker rally|1
drum street tree pole face people line|1
ucsf|1
girl bar building store|1
they show a birthday cake|1
congregation|2
artwork|2
smiling boy|1
horn honking|2
policeman|2
brother|4
cloudy|9
kids play music on the back of a truck|1
emergency services parade|2
guy moving a chair|2
floating lanterns|3
parade animal tree sky bubble|1
marchingband|1
drinks|16
stands|1
little boy simging|1
preformance|4
pose|3
7 drawfs|1
water|11
witch|3
groups|1
young boy looking at daytime parade|1
male|1
english language institute|1
healthy|1
lantern display|1
fairy lights|5
little boy opening gifts|1
nighttime parade|88
cars driving|1
military review|1
family birthday party in restaurant|1
girl box group paper tale|1
scarves|1
1st|1
projector|2
morterboards|10
sports|33
a graduation ceremony|1
traffic jam|3
music on bagpipe|1
conductor|3
altar|1
siblings singing|1
night time show|3
flapping|1
kids walking on a sidwalk|1
animal sat down|1
parade w marching band|1
girl playing guitar|2
chinese new year|1
children playing games at school|1
wands|1
birthday hats|3
dance parade|1
everyone playing either drums or bagpipes|1
disc jockey|1
laughter|11
everyone ialking at once|1
referee|9
presentation ceremony|1
military line up to parade|1
students graduating|3
santa show|1
little babiy birthday celebration|1
young children performing in a classroom setting|1
watching|19
baby birthday|9
1|3
truck tree sky wheel street parade|1
family celebrating a birthday at home|1
in an interview in an office a man feels sorry for talking because the attention is on mr.|1
lined up|2
rites|1
illuminated boats|1
birthday|2868
children playing with their hands|1
classroom|30
parade cars|1
hand shaking|2
4th july|1
children exercising|1
party piece|1
mom & kid|1
girl opening envelope|1
wall people counter frames ceiling light|1
children at a school or playground|1
wedding dressess|1
arm waving|3
cheerleaders|20
motor bikes|1
street dance|3
platform|1
swans|1
abusive video title|1
littlekids get awards|1
hugs|9
girl carrying present|1
children graduating|1
wall banner cap gown flash|1
wagon|4
family singing happy birthday to a little kid|1
hawaiin|1
princess and the frog|1
nodding|1
animal costumes|1
children playing in class|1
military band parade|2
birthday occasion maybe|1
woman coaching him to sing|1
some kids have fiddles|1
kid blows out candle on cake|1
ice cream|4
baby crying|1
building parade street bagpipe band people building|1
tree lights night parade sleigh reindeer|1
decorated float|1
boys band flag drums wall floor hats|1
busy day|1
orange hair|2
a float being pulled by a red truck down the parade path|1
tree sky parade castle|1
sirens and lights|1
kids play football|2
fire trucks|4
turn|1
handicrafts|1
emergency services|1
kid's birthday party at a house|1
daytime parade and costume party|1
mom singing happy birthday|1
lights night float parade|1
wall banner skirt students wall hat window curtain|1
plastic|1
bahamas|2
girls singing on stage|1
baby tries to sit upright on bed|1
white|12
hug|5
cheerleading|3
fall in sand|1
child singing happy birthday|2
mrs. potts|3
kid opening a card|1
a parade down a wet street|1
dancing on float|1
dog road leash people walk|1
cards|5
marines|11
gradaution event|1
baseball game|1
gradualtion|1
marathon|1
superman|3
lit up candles|1
dining|1
animation|2
sporting event|11
tambourine|1
army parade|2
little childrens graduation|1
visitors|1
little girls birthday party|3
senior students at their graduation ceremony singing the canadian national anthem|1
honking horn|1
